MDC (01-25),ΚΩΔΙΚΟΣ ΚΕΝ (όλοι οι ΑλφΑβητικί ΧΑρΑκτήρες θΑ πρέπει νΑ είνΑι στΑ ΕΛΛΗΝΙΚΑ),ΚΩΔΙΚΟΣ ICD-10 (όλοι οι αλβαβητικοί χαρακτήρες θα πρέπει να είναι στα Αγγλικά)
1.0,Ν23Α,G31
1.0,Ν23Α,G32.8
1.0,Ν23Α,G10
1.0,Ν23Α,G11
1.0,Ν23Α,G13
1.0,Ν23Α,G20
1.0,Ν23Α,G21
1.0,Ν23Α,G22
1.0,Ν23Α,G23
1.0,Ν23Α,G35
1.0,Ν23Α,G37
1.0,Ν23Α,G91
1.0,Ν23Α,G92
1.0,Ν23Α,G46.5
1.0,Ν23Α,G46.6
1.0,Ν23Α,G46.7
1.0,Ν24Μ,F05.0
1.0,Ν24Μ,F05.1
1.0,Ν24Μ,F05.8
1.0,Ν24Μ,F05.9
1.0,Ν24Μ,F06.2
1.0,Ν24Μ,F20
1.0,Ν24Μ,F21
1.0,Ν24Μ,F22
1.0,Ν24Μ,F23
1.0,Ν24Μ,F24
1.0,Ν24Μ,F25
1.0,Ν24Μ,F26
1.0,Ν24Μ,F27
1.0,Ν24Μ,F28
1.0,Ν24Μ,F29
1.0,Ν24Μ,F22
1.0,Ν24Μ,F22.0
1.0,Ν24Μ,F22.8
1.0,Ν24Μ,F22.9
1.0,Ν24Μ,F23.3
1.0,Ν24Μ,F24
1.0,Ν24Χ,F05.0
1.0,Ν24Χ,F05.1
1.0,Ν24Χ,F05.8
1.0,Ν24Χ,F05.9
1.0,Ν24Χ,F06.2
1.0,Ν24Χ,F20
1.0,Ν24Χ,F21
1.0,Ν24Χ,F22
1.0,Ν24Χ,F23
1.0,Ν24Χ,F24
1.0,Ν24Χ,F25
1.0,Ν24Χ,F26
1.0,Ν24Χ,F27
1.0,Ν24Χ,F28
1.0,Ν24Χ,F29
1.0,Ν24Χ,F22
1.0,Ν24Χ,F22.0
1.0,Ν24Χ,F22.8
1.0,Ν24Χ,F22.9
1.0,Ν24Χ,F23.3
1.0,Ν24Χ,F24
1.0,Ν25Α,G80.0
1.0,Ν25Α,G80.3
1.0,Ν25Α,G80.4
1.0,Ν25Α,G80.8
1.0,Ν25Α,G80.9
1.0,Ν26Μ,C47
1.0,Ν26Μ,C72
1.0,Ν26Μ,C79.4
1.0,Ν26Μ,D33
1.0,Ν26Μ,D43
1.0,Ν26Χ,C47
1.0,Ν26Χ,C72
1.0,Ν26Χ,C79.4
1.0,Ν26Χ,D33
1.0,Ν26Χ,D43
1.0,Ν27Μα,G30
1.0,Ν27Μα,G31
1.0,Ν27Μα,G32
1.0,Ν27Μα,G20
1.0,Ν27Μα,G21
1.0,Ν27Μα,G22
1.0,Ν27Μα,G23
1.0,Ν27Μα,G24
1.0,Ν27Μα,G25
1.0,Ν27Μα,G26
1.0,Ν27Μα,G10
1.0,Ν27Μα,G11
1.0,Ν27Μα,G12
1.0,Ν27Μα,G13
1.0,Ν27Μβ,G30
1.0,Ν27Μβ,G31
1.0,Ν27Μβ,G32
1.0,Ν27Μβ,G20
1.0,Ν27Μβ,G21
1.0,Ν27Μβ,G22
1.0,Ν27Μβ,G23
1.0,Ν27Μβ,G24
1.0,Ν27Μβ,G25
1.0,Ν27Μβ,G26
1.0,Ν27Μβ,G10
1.0,Ν27Μβ,G11
1.0,Ν27Μβ,G12
1.0,Ν27Μβ,G13
1.0,Ν27Χ,G30
1.0,Ν27Χ,G31
1.0,Ν27Χ,G32
1.0,Ν27Χ,G20
1.0,Ν27Χ,G21
1.0,Ν27Χ,G22
1.0,Ν27Χ,G23
1.0,Ν27Χ,G24
1.0,Ν27Χ,G25
1.0,Ν27Χ,G26
1.0,Ν27Χ,G10
1.0,Ν27Χ,G11
1.0,Ν27Χ,G12
1.0,Ν27Χ,G13
1.0,Ν28Μ,G11.1
1.0,Ν28Μ,G11.2
1.0,Ν28Μ,G11.3
1.0,Ν28Μ,P52.6
1.0,Ν28Μ,G11
1.0,Ν28Μ,G11.0
1.0,Ν28Μ,G60.2
1.0,Ν28Μ,R27.0
1.0,Ν28Μ,G35
1.0,Ν28Μ,G36
1.0,Ν28Μ,G37
1.0,Ν28Χ,G11.1
1.0,Ν28Χ,G11.2
1.0,Ν28Χ,G11.3
1.0,Ν28Χ,P52.6
1.0,Ν28Χ,G11
1.0,Ν28Χ,G11.0
1.0,Ν28Χ,G60.2
1.0,Ν28Χ,R27.0
1.0,Ν28Χ,G35
1.0,Ν28Χ,G36
1.0,Ν28Χ,G37
1.0,Ν29Μ,G45
1.0,Ν29Χ,G45
1.0,Ν30Α,I60
1.0,Ν30Α,I61
1.0,Ν30Α,I62
1.0,Ν30Α,I63
1.0,Ν30Α,I64
1.0,Ν30Α,I65
1.0,Ν30Α,I66
1.0,Ν30Α,I67
1.0,Ν30Α,I68
1.0,Ν30Α,I69
1.0,Ν30Μα,I60
1.0,Ν30Μα,I61
1.0,Ν30Μα,I62
1.0,Ν30Μα,I63
1.0,Ν30Μα,I64
1.0,Ν30Μα,I65
1.0,Ν30Μα,I66
1.0,Ν30Μα,I67
1.0,Ν30Μα,I68
1.0,Ν30Μα,I69
1.0,Ν30Μβ,I60
1.0,Ν30Μβ,I61
1.0,Ν30Μβ,I62
1.0,Ν30Μβ,I63
1.0,Ν30Μβ,I64
1.0,Ν30Μβ,I65
1.0,Ν30Μβ,I66
1.0,Ν30Μβ,I67
1.0,Ν30Μβ,I68
1.0,Ν30Μβ,I69
1.0,Ν30Χ,I60
1.0,Ν30Χ,I61
1.0,Ν30Χ,I62
1.0,Ν30Χ,I63
1.0,Ν30Χ,I64
1.0,Ν30Χ,I65
1.0,Ν30Χ,I66
1.0,Ν30Χ,I67
1.0,Ν30Χ,I68
1.0,Ν30Χ,I69
1.0,Ν31Μ,G50
1.0,Ν31Μ,G51
1.0,Ν31Μ,G52
1.0,Ν31Μ,G53
1.0,Ν31Μ,G54
1.0,Ν31Μ,G55
1.0,Ν31Μ,G56
1.0,Ν31Μ,G57
1.0,Ν31Μ,G58
1.0,Ν31Μ,G59
1.0,Ν31Μ,G60
1.0,Ν31Μ,G61
1.0,Ν31Μ,G62
1.0,Ν31Μ,G63
1.0,Ν31Μ,G64
1.0,Ν31Χ,G50
1.0,Ν31Χ,G51
1.0,Ν31Χ,G52
1.0,Ν31Χ,G53
1.0,Ν31Χ,G54
1.0,Ν31Χ,G55
1.0,Ν31Χ,G56
1.0,Ν31Χ,G57
1.0,Ν31Χ,G58
1.0,Ν31Χ,G59
1.0,Ν31Χ,G60
1.0,Ν31Χ,G61
1.0,Ν31Χ,G62
1.0,Ν31Χ,G63
1.0,Ν31Χ,G64
1.0,Ν32Μ,G00
1.0,Ν32Μ,G01
1.0,Ν32Μ,G02
1.0,Ν32Μ,G03
1.0,Ν32Μ,G04
1.0,Ν32Μ,G05.0
1.0,Ν32Μ,G05.8
1.0,Ν32Μ,G05.2
1.0,Ν32Χ,G00
1.0,Ν32Χ,G01
1.0,Ν32Χ,G02
1.0,Ν32Χ,G03
1.0,Ν32Χ,G04
1.0,Ν32Χ,G05.0
1.0,Ν32Χ,G05.8
1.0,Ν32Χ,G05.2
1.0,Ν33Α,G03
1.0,Ν33Α,G04.8
1.0,Ν33Α,G04.9
1.0,Ν33Α,G05.1
1.0,Ν34Μ,B15.0
1.0,Ν34Μ,B16.0
1.0,Ν34Μ,B16.2
1.0,Ν34Μ,B19.0
1.0,Ν34Μ,E03.5
1.0,Ν34Μ,E15
1.0,Ν34Μ,F44.2
1.0,Ν34Μ,P91.5
1.0,Ν34Μ,R40
1.0,Ν34Μ,R40.2
1.0,Ν34Χ,B15.0
1.0,Ν34Χ,B16.0
1.0,Ν34Χ,B16.2
1.0,Ν34Χ,B19.0
1.0,Ν34Χ,E03.5
1.0,Ν34Χ,E15
1.0,Ν34Χ,F44.2
1.0,Ν34Χ,P91.5
1.0,Ν34Χ,R40
1.0,Ν34Χ,R40.2
1.0,Ν35Α,R56.0
1.0,Ν36Μ,P90
1.0,Ν36Μ,R56
1.0,Ν36Μ,F44.5
1.0,Ν36Μ,G40
1.0,Ν36Μ,G41
1.0,Ν36Χ,P90
1.0,Ν36Χ,R56
1.0,Ν36Χ,F44.5
1.0,Ν36Χ,G40
1.0,Ν36Χ,G41
1.0,Ν37Α,G43
1.0,Ν37Α,G44
1.0,Ν41Μ,G90
1.0,Ν41Μ,G91
1.0,Ν41Μ,G92
1.0,Ν41Μ,G93
1.0,Ν41Μ,G94
1.0,Ν41Μ,G95
1.0,Ν41Μ,G96
1.0,Ν41Μ,G97
1.0,Ν41Μ,G98
1.0,Ν41Μ,G99
1.0,Ν41Χ,G90
1.0,Ν41Χ,G91
1.0,Ν41Χ,G92
1.0,Ν41Χ,G93
1.0,Ν41Χ,G94
1.0,Ν41Χ,G95
1.0,Ν41Χ,G96
1.0,Ν41Χ,G97
1.0,Ν41Χ,G98
1.0,Ν41Χ,G99
1.0,Ν42Μα,G82
1.0,Ν42Μα,G83
1.0,Ν42Μβ,G82
1.0,Ν42Μβ,G83
1.0,Ν42Χ,G82
1.0,Ν42Χ,G83
1.0,Ν01Μ,G91
1.0,Ν01Χ,G91
1.0,Ν02Μα,C70.0
1.0,Ν02Μα,C71
1.0,Ν02Μα,C72
1.0,Ν02Μα,D32
1.0,Ν02Μα,D33
1.0,Ν02Μα,G91
1.0,Ν02Μα,G93.5
1.0,Ν02Μα,G93.6
1.0,Ν02Μα,S06.1
1.0,Ν02Μα,S06.4
1.0,Ν02Μα,S06.5
1.0,Ν02Μα,S06.7
1.0,Ν02Μα,S06.8
1.0,Ν02Μα,S08
1.0,Ν02Μβ,C70.0
1.0,Ν02Μβ,C71
1.0,Ν02Μβ,C72
1.0,Ν02Μβ,D32
1.0,Ν02Μβ,D33
1.0,Ν02Μβ,G91
1.0,Ν02Μβ,G93.5
1.0,Ν02Μβ,G93.6
1.0,Ν02Μβ,S06.1
1.0,Ν02Μβ,S06.4
1.0,Ν02Μβ,S06.5
1.0,Ν02Μβ,S06.7
1.0,Ν02Μβ,S06.8
1.0,Ν02Μβ,S08
1.0,Ν02Χ,C70.0
1.0,Ν02Χ,C71
1.0,Ν02Χ,C72
1.0,Ν02Χ,D32
1.0,Ν02Χ,D33
1.0,Ν02Χ,G91
1.0,Ν02Χ,G93.5
1.0,Ν02Χ,G93.6
1.0,Ν02Χ,S06.1
1.0,Ν02Χ,S06.4
1.0,Ν02Χ,S06.5
1.0,Ν02Χ,S06.7
1.0,Ν02Χ,S06.8
1.0,Ν02Χ,S08
1.0,Ν03Μ,C70.1
1.0,Ν03Μ,C72
1.0,Ν03Μ,D32.1
1.0,Ν03Μ,D33.4
1.0,Ν03Μ,D43.4
1.0,Ν03Μ,G95
1.0,Ν03Μ,M48.0
1.0,Ν03Μ,M51
1.0,Ν03Μ,M53
1.0,Ν03Μ,S12
1.0,Ν03Μ,S22.1
1.0,Ν03Μ,S32
1.0,Ν03Μ,T08
1.0,Ν03Μ,G56.0
1.0,Ν03Χ,C70.1
1.0,Ν03Χ,C72
1.0,Ν03Χ,D32.1
1.0,Ν03Χ,D33.4
1.0,Ν03Χ,D43.4
1.0,Ν03Χ,G95
1.0,Ν03Χ,M48.0
1.0,Ν03Χ,M51
1.0,Ν03Χ,M53
1.0,Ν03Χ,S12
1.0,Ν03Χ,S22.1
1.0,Ν03Χ,S32
1.0,Ν03Χ,T08
1.0,Ν03Χ,G56.0
1.0,Ν05Α,C70.1
1.0,Ν05Α,C72
1.0,Ν05Α,D32.1
1.0,Ν05Α,D33.4
1.0,Ν05Α,D43.4
1.0,Ν05Α,G95
1.0,Ν05Α,M48.0
1.0,Ν05Α,M51
1.0,Ν05Α,M53
1.0,Ν05Α,S12
1.0,Ν05Α,S22.1
1.0,Ν05Α,S32
1.0,Ν05Α,T08
1.0,Ν05Α,G56.0
1.0,Ν06Μ,G51
1.0,Ν06Χ,G51
1.0,Ν07Μ,G52
1.0,Ν07Μ,G54
1.0,Ν07Χ,G52
1.0,Ν07Χ,G54
1.0,Ν20Μ,G82
1.0,Ν20Χ,G82
1.0,Ν21Μ,C70.1
1.0,Ν21Μ,C72
1.0,Ν21Μ,D32.1
1.0,Ν21Μ,D33.4
1.0,Ν21Μ,D43.4
1.0,Ν21Μ,G95
1.0,Ν21Χ,C70.1
1.0,Ν21Χ,C72
1.0,Ν21Χ,D32.1
1.0,Ν21Χ,D33.4
1.0,Ν21Χ,D43.4
1.0,Ν21Χ,G95
1.0,Ν26Μ,C70
1.0,Ν26Μ,C71
1.0,Ν26Μ,C72
1.0,Ν26Μ,D32
1.0,Ν26Μ,D33
1.0,Ν26Μ,D34
1.0,Ν26Χ,C70
1.0,Ν26Χ,C71
1.0,Ν26Χ,C72
1.0,Ν26Χ,D32
1.0,Ν26Χ,D33
1.0,Ν26Χ,D34
1.0,Ν38Μ,S00
1.0,Ν38Μ,S01
1.0,Ν38Μ,S02
1.0,Ν38Μ,S03
1.0,Ν38Μ,S04
1.0,Ν38Μ,S05
1.0,Ν38Μ,S06
1.0,Ν38Μ,S07
1.0,Ν38Μ,S08
1.0,Ν38Μ,S09
1.0,Ν38Χ,S00
1.0,Ν38Χ,S01
1.0,Ν38Χ,S02
1.0,Ν38Χ,S03
1.0,Ν38Χ,S04
1.0,Ν38Χ,S05
1.0,Ν38Χ,S06
1.0,Ν38Χ,S07
1.0,Ν38Χ,S08
1.0,Ν38Χ,S09
1.0,Ν39Μ,S02
1.0,Ν39Χ,S02
1.0,Ν40Α,S09
1.0,Ν41Μ,G90
1.0,Ν41Μ,G91
1.0,Ν41Μ,G92
1.0,Ν41Μ,G93
1.0,Ν41Μ,G94
1.0,Ν41Μ,G95
1.0,Ν41Μ,G96
1.0,Ν41Μ,G97
1.0,Ν41Μ,G98
1.0,Ν41Μ,G99
1.0,Ν41Χ,G90
1.0,Ν41Χ,G91
1.0,Ν41Χ,G92
1.0,Ν41Χ,G93
1.0,Ν41Χ,G94
1.0,Ν41Χ,G95
1.0,Ν41Χ,G96
1.0,Ν41Χ,G97
1.0,Ν41Χ,G98
1.0,Ν41Χ,G99
2.0,Ο11Α,H00.0
2.0,Ο11Α,H00.1
2.0,Ο23Α,H01
2.0,Ο23Α,H01.0
2.0,Ο23Α,H01.1
2.0,Ο23Α,H01.8
2.0,Ο23Α,H01.9
2.0,Ο11Α,H02.0
2.0,Ο11Α,H02.1
2.0,Ο11Α,H02.2
2.0,Ο11Α,H02.3
2.0,Ο11Α,H02.4
2.0,Ο11Α,H02.5
2.0,Ο11Α,H02.6
2.0,Ο23Α,H02.7
2.0,Ο11Α,H02.8
2.0,Ο23Α,H02.9
2.0,Ο23Α,H03.0
2.0,Ο23Α,H03.1
2.0,Ο23Α,H03.8
2.0,Ο13Α,H04.0
2.0,Ο13Α,H04.1
2.0,Ο05Α,H04.2
2.0,Ο23Α,H04.3
2.0,Ο05Α,H04.4
2.0,Ο05Α,H04.5
2.0,Ο23Α,H04.6
2.0,Ο23Α,H04.8
2.0,Ο23Α,H04.9
2.0,Ο02Α,H05.0
2.0,Ο02Α,H05.1
2.0,Ο02Α,H05.2
2.0,Ο02Α,H05.3
2.0,Ο23Α,H05.4
2.0,Ο02Α,H05.5
2.0,Ο02Α,H05.8
2.0,Ο23Α,H05.9
2.0,Ο23Α,H06.0
2.0,Ο02Α,H06.1
2.0,Ο23Α,H06.2
2.0,Ο23Α,H06.3
2.0,Ο23Α,H10.0
2.0,Ο23Α,H10.1
2.0,Ο23Α,H10.2
2.0,Ο23Α,H10.3
2.0,Ο23Α,H10.4
2.0,Ο23Α,H10.5
2.0,Ο23Α,H10.8
2.0,Ο23Α,H10.9
2.0,Ο12Α,H11.0
2.0,Ο23Α,H11.1
2.0,Ο04Α,H11.2
2.0,Ο23Α,H11.3
2.0,Ο21Μ,H11.4
2.0,Ο23Α,H11.8
2.0,Ο23Α,H11.9
2.0,Ο23Α,H13
2.0,Ο23Α,H13.0
2.0,Ο23Α,H13.1
2.0,Ο23Α,H13.2
2.0,Ο23Α,H13.3
2.0,Ο23Α,H13.8
2.0,Ο23Α,H15.0
2.0,Ο23Α,H15.1
2.0,Ο23Α,H15.8
2.0,Ο23Α,H15.9
2.0,Ο23Α,H16.0
2.0,Ο23Α,H16.1
2.0,Ο17Α,H16.2
2.0,Ο17Α,H16.3
2.0,Ο17Α,H16.4
2.0,Ο23Α,H16.8
2.0,Ο23Α,H16.9
2.0,Ο17Α,H17.0
2.0,Ο17Α,H17.1
2.0,Ο17Α,H17.8
2.0,Ο17Α,H17.9
2.0,Ο23Α,H18.0
2.0,Ο23Α,H18.1
2.0,Ο23Α,H18.2
2.0,Ο23Α,H18.3
2.0,Ο23Α,H18.4
2.0,Ο23Α,H18.5
2.0,Ο23Α,H18.6
2.0,Ο23Α,H18.7
2.0,Ο23Α,H18.8
2.0,Ο23Α,H18.9
2.0,Ο23Α,H19.0
2.0,Ο23Α,H19.1
2.0,Ο23Α,H19.2
2.0,Ο23Α,H19.3
2.0,Ο23Α,H19.8
2.0,Ο23Α,H20.0
2.0,Ο23Α,H20.1
2.0,Ο23Α,H20.2
2.0,Ο23Α,H20.8
2.0,Ο23Α,H20.9
2.0,Ο22Α,H21.0
2.0,Ο21Μ,H21.1
2.0,Ο23Α,H21.2
2.0,Ο23Α,H21.3
2.0,Ο23Α,H21.4
2.0,Ο23Α,H21.5
2.0,Ο23Α,H21.8
2.0,Ο23Α,H21.9
2.0,Ο23Α,H22.0
2.0,Ο23Α,H22.1
2.0,Ο23Α,H22.8
2.0,Ο16Α,H25.0
2.0,Ο15Α,H25.1
2.0,Ο15Α,H25.2
2.0,Ο15Α,H25.9
2.0,Ο15Α,H26.0
2.0,Ο01Α,H26.1
2.0,Ο15Α,H26.2
2.0,Ο15Α,H26.3
2.0,Ο23Α,H26.4
2.0,Ο15Α,H26.8
2.0,Ο15Α,H26.9
2.0,Ο15Α,H27.0
2.0,Ο15Α,H27.1
2.0,Ο15Α,H27.8
2.0,Ο15Α,H27.9
2.0,Ο15Α,H28.0
2.0,Ο15Α,H28.1
2.0,Ο15Α,H28.2
2.0,Ο15Α,H28.8
2.0,Ο03Α,H30.0
2.0,Ο03Α,H30.1
2.0,Ο23Α,H30.2
2.0,Ο23Α,H30.8
2.0,Ο03Α,H30.9
2.0,Ο23Α,H31.0
2.0,Ο23Α,H31.1
2.0,Ο23Α,H31.2
2.0,Ο01Α,H31.3
2.0,Ο01Α,H31.4
2.0,Ο23Α,H31.8
2.0,Ο23Α,H31.9
2.0,Ο03Α,H32.0
2.0,Ο23Α,H32.8
2.0,Ο01Α,H33.0
2.0,Ο03Α,H33.1
2.0,Ο23Α,H33.2
2.0,Ο14Α,H33.3
2.0,Ο03Α,H33.4
2.0,Ο01Α,H33.5
2.0,Ο21Μ,H34.0
2.0,Ο21Μ,H34.1
2.0,Ο21Μ,H34.2
2.0,Ο21Μ,H34.8
2.0,Ο21Μ,H34.9
2.0,Ο21Μ,H35.0
2.0,Ο03Α,H35.1
2.0,Ο03Α,H35.2
2.0,Ο03Α,H35.3
2.0,Ο23Α,H35.4
2.0,Ο23Α,H35.5
2.0,Ο01Α,H35.6
2.0,Ο14Α,H35.7
2.0,Ο23Α,H35.8
2.0,Ο23Α,H35.9
2.0,Ο03Α,H36.0
2.0,Ο03Α,H36.8
2.0,Ο23Α,H40.0
2.0,Ο15Α,H40.1
2.0,Ο15Α,H40.2
2.0,Ο15Α,H40.3
2.0,Ο15Α,H40.4
2.0,Ο15Α,H40.5
2.0,Ο15Α,H40.6
2.0,Ο15Α,H40.8
2.0,Ο15Α,H40.9
2.0,Ο15Α,H42
2.0,Ο15Α,H42.0
2.0,Ο15Α,H42.8
2.0,Ο01Α,H43.0
2.0,Ο01Α,H43.1
2.0,Ο03Α,H43.2
2.0,Ο03Α,H43.3
2.0,Ο23Α,H43.8
2.0,Ο23Α,H43.9
2.0,Ο02Α,H44.0
2.0,Ο02Α,H44.1
2.0,Ο23Α,H44.2
2.0,Ο23Α,H44.3
2.0,Ο01Α,H44.4
2.0,Ο02Α,H44.5
2.0,Ο02Α,H44.6
2.0,Ο02Α,H44.7
2.0,Ο01Α,H44.8
2.0,Ο23Α,Η44.9
2.0,Ο03Α,H45.0
2.0,Ο02Α,H45.1
2.0,Ο23Α,H45.8
2.0,Ο21Μ,H46
2.0,Ο21Μ,H47
2.0,Ο14Α,H47.0
2.0,Ο21Μ,H47.1
2.0,Ο21Μ,H47.2
2.0,Ο23Α,H47.3
2.0,Ο21Μ,H47.4
2.0,Ο21Μ,H47.5
2.0,Ο21Μ,H47.6
2.0,Ο21Μ,H47.7
2.0,Ο21Μ,H48.0
2.0,Ο21Μ,H48.1
2.0,Ο21Μ,H48.8
2.0,Ο10Α,H49.0
2.0,Ο10Α,H49.1
2.0,Ο10Α,H49.2
2.0,Ο21Μ,H49.3
2.0,Ο21Μ,H49.4
2.0,Ο10Α,H49.8
2.0,Ο10Α,H49.9
2.0,Ο10Α,H50.0
2.0,Ο10Α,H50.1
2.0,Ο10Α,H50.2
2.0,Ο10Α,H50.3
2.0,Ο10Α,H50.4
2.0,Ο10Α,H50.5
2.0,Ο10Α,H50.6
2.0,Ο10Α,H50.8
2.0,Ο10Α,H50.9
2.0,Ο10Α,H51
2.0,Ο21Μ,H51.0
2.0,Ο10Α,H51.1
2.0,Ο21Μ,H51.2
2.0,Ο21Μ,H51.8
2.0,Ο21Μ,H51.9
2.0,Ο14Α,H52
2.0,Ο14Α,H52.0
2.0,Ο14Α,H52.1
2.0,Ο14Α,H52.2
2.0,Ο14Α,H52.3
2.0,Ο14Α,H52.4
2.0,Ο21Μ,H52.5
2.0,Ο23Α,H52.6
2.0,Ο23Α,H52.7
2.0,Ο23Α,H53.0
2.0,Ο23Α,H53.1
2.0,Ο10Α,H53.2
2.0,Ο21Μ,H53.3
2.0,Ο21Μ,H53.4
2.0,Ο23Α,H53.5
2.0,Ο23Α,H53.6
2.0,Ο23Α,H53.8
2.0,Ο23Α,H53.9
2.0,Ο23Α,H54.0
2.0,Ο23Α,H54.1
2.0,Ο23Α,H54.2
2.0,Ο23Α,H54.3
2.0,Ο23Α,H54.4
2.0,Ο23Α,H54.5
2.0,Ο23Α,H54.6
2.0,Ο23Α,H54.7
2.0,Ο23Α,H02.5
2.0,Ο23Α,H02.8
2.0,Ο23Α,H04.0
2.0,Ο23Α,H04.1
2.0,Ο13Α,H04.2
2.0,Ο13Α,H04.4
2.0,Ο13Α,H04.5
2.0,Ο20Μ,H05.0
2.0,Ο23Α,H05.1
2.0,Ο23Α,H05.2
2.0,Ο23Α,H05.3
2.0,Ο23Α,H05.5
2.0,Ο23Α,H05.8
2.0,Ο20Μ,H06.1
2.0,Ο12Α,H11.2
2.0,Ο61Χ,H11.4
2.0,Ο12Α,H11.8
2.0,Ο12Α,H13.3
2.0,Ο12Α,H15.8
2.0,Ο04Α,H16.0
2.0,Ο04Α,H16.1
2.0,Ο04Α,H16.2
2.0,Ο04Α,H16.3
2.0,Ο23Α,H16.4
2.0,Ο04Α,H17.0
2.0,Ο04Α,H17.1
2.0,Ο04Α,H17.8
2.0,Ο04Α,H17.9
2.0,Ο17Α,H18.0
2.0,Ο04Α,H18.1
2.0,Ο04Α,H18.2
2.0,Ο04Α,H18.3
2.0,Ο04Α,H18.4
2.0,Ο04Α,H18.5
2.0,Ο04Α,H18.6
2.0,Ο04Α,H18.7
2.0,Ο04Α,H18.8
2.0,Ο04Α,H19.1
2.0,Ο04Α,H19.2
2.0,Ο04Α,H19.3
2.0,Ο04Α,H19.8
2.0,Ο61Χ,H21.1
2.0,Ο14Α,H21.3
2.0,Ο14Α,H21.4
2.0,Ο14Α,H21.5
2.0,Ο16Α,H25.1
2.0,Ο16Α,H25.2
2.0,Ο16Α,H25.9
2.0,Ο16Α,H26.0
2.0,Ο15Α,H26.1
2.0,Ο16Α,H26.2
2.0,Ο16Α,H26.3
2.0,Ο14Α,H26.4
2.0,Ο16Α,H26.8
2.0,Ο16Α,H26.9
