+----------------------------------------------------------+------+---------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------+-----------------+----------------+------------+---------------+-----------------+-------------+
| department                                               | year | ken_code      | ken_description                                                                                                                                                                                                                                                                                                                                                                                                     | total_hospitalizations | total_base_cost | total_surcharge | total_revenue  | count_efka | count_private | count_uninsured | count_other |
| Γαστρεντερολογική Κλινική                                | 2024 | Θ03Α          |  Επεμβάσεις επινεφριδίου                                                                                                                                                                                                                                                                                                                                                                                            |                      1 |            3.30 |      0.00000000 |     3.30000000 |          0 |             0 |               0 |           1 |
| Γαστρεντερολογική Κλινική                                | 2024 | Π10Μ          |  Επεμβάσεις κηλών (βουβωνοκήλες ομφαλοκήλες κτλ) με  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                             |                      1 |            1.70 |      4.30000000 |     2.04000000 |          0 |             1 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Η43Μ          |  Διαταραχές ήπατος χωρίς κακοήθεια Κύρωση αλκοολική ηπατίτιδα με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                        |                      1 |            1.81 |      7.19000000 |     2.03625000 |          1 |             0 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Μ19Χ          |  Λοιπές επεμβάσεις αγκώνος και αντιβραχίου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                 |                      1 |            1.90 |      0.00000000 |     1.90000000 |          1 |             0 |               0 |           0 |
| Γαστρεντερολογική Κλινική                                | 2024 | Η44Μ          |  Δαταραχές των χοληφόρων με  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                                     |                      1 |            1.20 |      0.00000000 |     1.20000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Γ09Α          |  Επεμβάσεις αΐδιου τραχήλου και κόλπου                                                                                                                                                                                                                                                                                                                                                                              |                      1 |          418.00 |   -402.00000000 |  3344.00000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Δ24Χ          |  Κυτταρίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                       |                      1 |          802.00 |      0.00000000 |   802.00000000 |          0 |             1 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Ι24Α          |  Δυσλειτουργία από χρήση άλλων ναρκωτικών και εξάρτηση                                                                                                                                                                                                                                                                                                                                                              |                      1 |          599.00 |      0.00000000 |   599.00000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Ε09Γ          |  Μεταμόσχευση παγκρέατος                                                                                                                                                                                                                                                                                                                                                                                            |                      1 |           10.71 |      8.29000000 |    13.56600000 |          0 |             1 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Η01Μ          |  Αναστομώσεις πυλαίας-κάτω κοίλης επεμβάσεις παγκρέατος ήπατος και παρακάμψεις με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                 |                      1 |            7.92 |      0.00000000 |     7.92000000 |          0 |             0 |               1 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Υ03Μα         |  Επεμβάσεις νεφρού ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                               |                      1 |            6.43 |      0.00000000 |     6.43000000 |          0 |             1 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Ω04Χ          |  Γναθοχειρουργική χωρίς συνυπάρχουσες παθήσεις-επιπλοκές                                                                                                                                                                                                                                                                                                                                                            |                      1 |            1.93 |      4.07000000 |     5.79000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Υ04Μ          |  Επεμβάσεις νεφρού ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                            |                      1 |            4.36 |      0.00000000 |     4.36000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Φ24Μ          |  Λοιπές επεμβάσεις για τραύματα κάτω άκρων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                            |                      1 |            2.79 |      0.00000000 |     2.79000000 |          0 |             0 |               1 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Μ79Χ          |  Παθολογικά κατάγματα χωρίς καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                       |                      1 |            1.37 |     14.63000000 |     2.74000000 |          0 |             1 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Μ77Μ          |  Κατάγματα λεκάνης με καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                   |                      1 |            2.26 |      0.00000000 |     2.26000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Ν28Μ          |  Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία με συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                             |                      1 |            1.91 |      0.00000000 |     1.91000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Γ06Χ          |  Επανορθωτική επέμβαση γυναικείου αναπαραγωγικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                        |                      1 |            1.26 |      1.74000000 |     1.89000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Α24Μ          |  Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                  |                      1 |            1.82 |      0.00000000 |     1.82000000 |          1 |             0 |               0 |           0 |
| Γυναικολογική Κλινική                                    | 2024 | Κ38Μ          |  Συγγενής καρδιοπάθεια με συνυπάρχουσες παθήσεις-επιπλοκές                                                                                                                                                                                                                                                                                                                                                          |                      1 |            1.28 |      0.00000000 |     1.28000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Μ18Α          |  Λοιπές επεμβάσεις γόνατος                                                                                                                                                                                                                                                                                                                                                                                          |                      1 |          743.00 |   -737.00000000 |  4458.00000000 |          0 |             1 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | W13Α          |  Διάγνωση για νεογνά που δεν είναι συμβατή με την ηλικία/βάρος μικρής βαρύτητας                                                                                                                                                                                                                                                                                                                                     |                      1 |          685.00 |   -674.00000000 |  3767.50000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Ω37Α          |  Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις την ίδια ημέρα                                                                                                                                                                                                                                                                                                                           |                      1 |          254.00 |   -247.00000000 |  1778.00000000 |          0 |             1 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Γ10Α          |  Διαγνωστική υστεροσκόπηση απόξεση                                                                                                                                                                                                                                                                                                                                                                                  |                      1 |          425.00 |   -421.00000000 |  1700.00000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Ι24Α          |  Δυσλειτουργία από χρήση άλλων ναρκωτικών και εξάρτηση                                                                                                                                                                                                                                                                                                                                                              |                      1 |          599.00 |   -589.00000000 |  1497.50000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Ν25Α          |  Εγκεφαλική παράλυση                                                                                                                                                                                                                                                                                                                                                                                                |                      1 |          482.00 |   -476.00000000 |  1446.00000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | S21Μ          |  Σημεία και συμπτώματα                                                                                                                                                                                                                                                                                                                                                                                              |                      1 |          887.00 |      0.00000000 |   887.00000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Λ26Α          |  Προγεννητική και άλλη μαιευτική εισαγωγή                                                                                                                                                                                                                                                                                                                                                                           |                      1 |          257.00 |   -254.00000000 |   385.50000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Μ04Μ          |  Αντικατάσταση γόνατος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                |                      1 |            7.04 |      0.00000000 |     7.04000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Ν03Μ          |  Επεμβάσεις σπονδυλικής στήλης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                                                                        |                      1 |            5.91 |      0.00000000 |     5.91000000 |          0 |             0 |               1 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Τ25Μβ         |  Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική χειρουργική επέμβαση με σημαντικά προβλήματα                                                                                                                                                                                                                                                                                                              |                      1 |            4.15 |      0.00000000 |     4.15000000 |          0 |             0 |               1 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Ζ02Χ          |  Λοιπά εγκαύματα και δερματικά μοσχεύματα χωρίς συνυπάρχουσες παθήσεις-επιπλοκές                                                                                                                                                                                                                                                                                                                                    |                      1 |            2.98 |      4.02000000 |     3.47666667 |          0 |             0 |               1 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Β01Χ          |  Μείζονες ανδρικές πυελικές επεμβάσεις χωρίς  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                                                            |                      1 |            2.89 |      0.00000000 |     2.89000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Κ45Μα         |  Λοιπές παθήσεις-επιπλοκές κυκλοφορικού  με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές                                                                                                                                                                                                                                                                                                                          |                      1 |            2.43 |      0.00000000 |     2.43000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Κ47Α          |  Κατάλυση αρρυθμιογόνων εστιών                                                                                                                                                                                                                                                                                                                                                                                      |                      1 |            2.42 |      0.00000000 |     2.42000000 |          0 |             0 |               1 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Σ21Χ          |  Λέμφωμα και μη-οξεία λευχαιμία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                              |                      1 |            1.89 |      0.00000000 |     1.89000000 |          0 |             0 |               1 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Ν41Μ          |  Άλλες διαταραχές του νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές                                                                                                                                                                                                                                                                                                             |                      1 |            1.84 |      0.00000000 |     1.84000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Θ09Χβ         |  Άλλες Ενδοκρινολογικές θρεπτικών και μεταβολικές επεμβάσεις χωρίς σοβαρές και μετριοπαθή  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                       |                      1 |            1.77 |      0.00000000 |     1.77000000 |          1 |             0 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Τ27Μβ         |  Νεογνά με βάρος εισαγωγής >2499  gr χωρίς σημαντική χειρουργική επέμβαση σημαντικά προβλήματα                                                                                                                                                                                                                                                                                                                      |                      1 |            1.29 |      0.00000000 |     1.29000000 |          0 |             1 |               0 |           0 |
| Καρδιολογική Κλινική                                     | 2024 | Λ03Μ          |  Έκτοπη κύηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                                   |                      1 |            1.25 |      0.00000000 |     1.25000000 |          1 |             0 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Π28Α          |  Κολονοσκόπιση την ίδια ημέρα                                                                                                                                                                                                                                                                                                                                                                                       |                      1 |          290.00 |   -281.00000000 |  2610.00000000 |          0 |             1 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Κ35Χ          |  Περιφερική αγγειοπάθεια χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές                                                                                                                                                                                                                                                                                                                      |                      1 |          521.00 |   -513.00000000 |  2084.00000000 |          1 |             0 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Κ39Χ          |  Βαλβιδοπάθειες χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές                                                                                                                                                                                                                                                                                                                               |                      1 |          327.00 |   -320.00000000 |  1144.50000000 |          0 |             0 |               0 |           1 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Μ67Χ          |  Σηπτική αρθρίτιδα με καταστροφικές χωρίς σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                               |                      1 |          996.00 |      0.00000000 |   996.00000000 |          1 |             0 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Η40Μβ         |  Κίρρωση και αλκοολική ηπατίτιδα με σοβαρές ή μεσαίας βαρύτητας  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                 |                      1 |          965.00 |      0.00000000 |   965.00000000 |          0 |             0 |               1 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | S24Μ          |  Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας                                                                                                                                                                                                                                                                                                                                                             |                      1 |          770.00 |      0.00000000 |   770.00000000 |          1 |             0 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Μ68Χ          |  Μη χειρουργικές παθήσεις νωτιαιου σωλήνα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                  |                      1 |          731.00 |      0.00000000 |   731.00000000 |          1 |             0 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Μ31Μ          |  Επανεπεμβαση Ισχίου με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                                                           |                      1 |           11.68 |      0.00000000 |    11.68000000 |          1 |             0 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Κ22Α          |  Αορτικά Βαλβιδοφόρα Μοσχεύματα                                                                                                                                                                                                                                                                                                                                                                                     |                      1 |            7.75 |      0.00000000 |     7.75000000 |          1 |             0 |               0 |           0 |
| Μονάδα Εντατικής Θεραπείας                               | 2024 | Ρ10Μα         |  Επεμβάσεις για λοιμώδεις και παρασιτικές ασθένειες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές                                                                                                                                                                                                                                                                                                             |                      1 |            7.12 |      0.00000000 |     7.12000000 |          1 |             0 |               0 |           0 |
