+----------------------------------------------------+------------+------------+------------+--------------+-------------+
| department                                         | shift_date | shift_type | staff_type | sub_category | staff_count |
| Νευρολογική Κλινική                                | 2025-01-13 | Afternoon  | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-13 | Afternoon  | admin      | IT Support   |           2 |
| Νευρολογική Κλινική                                | 2025-01-13 | Afternoon  | nurse      | Assistant    |           3 |
| Νευρολογική Κλινική                                | 2025-01-13 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Νευρολογική Κλινική                                | 2025-01-13 | Afternoon  | nurse      | Nurse        |           5 |
| Νευρολογική Κλινική                                | 2025-01-13 | Morning    | admin      | HR Officer   |           2 |
| Νευρολογική Κλινική                                | 2025-01-13 | Morning    | nurse      | Nurse        |           5 |
| Νευρολογική Κλινική                                | 2025-01-13 | Night      | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-13 | Night      | admin      | IT Support   |           1 |
| Νευρολογική Κλινική                                | 2025-01-13 | Night      | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-13 | Night      | nurse      | Assistant    |           2 |
| Νευρολογική Κλινική                                | 2025-01-13 | Night      | nurse      | Nurse        |           7 |
| Νεφρολογική Κλινική                                | 2025-01-13 | Afternoon  | admin      | Accountant   |           2 |
| Νεφρολογική Κλινική                                | 2025-01-13 | Afternoon  | admin      | Receptionist |           1 |
| Νεφρολογική Κλινική                                | 2025-01-13 | Night      | admin      | Accountant   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-13 | Night      | admin      | HR Officer   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-13 | Night      | admin      | Logistics    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-13 | Night      | nurse      | Nurse        |           1 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | Accountant   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | Receptionist |           1 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Assistant    |           1 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Nurse        |           4 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Morning    | admin      | Accountant   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Morning    | admin      | HR Officer   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Night      | admin      | HR Officer   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Night      | admin      | Receptionist |           1 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Night      | nurse      | Head_Nurse   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-13 | Night      | nurse      | Nurse        |           7 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Assistant    |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Nurse        |           6 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Morning    | admin      | HR Officer   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Morning    | admin      | IT Support   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Morning    | nurse      | Assistant    |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Morning    | nurse      | Nurse        |           6 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Night      | admin      | HR Officer   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Night      | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Night      | nurse      | Assistant    |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Night      | nurse      | Head_Nurse   |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-13 | Night      | nurse      | Nurse        |           2 |
| Ουρολογική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | HR Officer   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-13 | Night      | admin      | HR Officer   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-13 | Night      | admin      | Receptionist |           1 |
| Ουρολογική Κλινική                                 | 2025-01-13 | Night      | admin      | Secretary    |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | IT Support   |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Afternoon  | admin      | Secretary    |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Assistant    |           5 |
| Παθολογική Κλινική                                 | 2025-01-13 | Afternoon  | nurse      | Nurse        |           4 |
| Παθολογική Κλινική                                 | 2025-01-13 | Morning    | admin      | IT Support   |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Morning    | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Morning    | admin      | Secretary    |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Morning    | nurse      | Assistant    |           2 |
| Παθολογική Κλινική                                 | 2025-01-13 | Morning    | nurse      | Head_Nurse   |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Morning    | nurse      | Nurse        |           3 |
| Παθολογική Κλινική                                 | 2025-01-13 | Night      | admin      | Accountant   |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Night      | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Night      | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-13 | Night      | nurse      | Assistant    |           3 |
| Παθολογική Κλινική                                 | 2025-01-13 | Night      | nurse      | Nurse        |           6 |
| Παιδιατρική Κλινική                                | 2025-01-13 | Night      | admin      | Accountant   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-13 | Night      | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Afternoon  | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Afternoon  | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Afternoon  | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Afternoon  | nurse      | Assistant    |           3 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Afternoon  | nurse      | Nurse        |           4 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Morning    | admin      | Receptionist |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Night      | admin      | HR Officer   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Night      | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Night      | nurse      | Assistant    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-13 | Night      | nurse      | Nurse        |           5 |
| Χειρουργική Κλινική                                | 2025-01-13 | Afternoon  | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Afternoon  | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Afternoon  | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Afternoon  | nurse      | Assistant    |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Afternoon  | nurse      | Nurse        |           7 |
| Χειρουργική Κλινική                                | 2025-01-13 | Morning    | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Morning    | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Morning    | nurse      | Assistant    |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Morning    | nurse      | Head_Nurse   |           1 |
| Χειρουργική Κλινική                                | 2025-01-13 | Morning    | nurse      | Nurse        |           4 |
| Χειρουργική Κλινική                                | 2025-01-13 | Night      | admin      | HR Officer   |           2 |
| Χειρουργική Κλινική                                | 2025-01-13 | Night      | nurse      | Assistant    |           3 |
| Χειρουργική Κλινική                                | 2025-01-13 | Night      | nurse      | Nurse        |           4 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Afternoon  | admin      | Accountant   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Afternoon  | admin      | Secretary    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Afternoon  | nurse      | Nurse        |           3 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Night      | admin      | Accountant   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Night      | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Night      | admin      | Secretary    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Night      | nurse      | Assistant    |           2 |
| Γαστρεντερολογική Κλινική                          | 2025-01-14 | Night      | nurse      | Nurse        |           4 |
| Γυναικολογική Κλινική                              | 2025-01-14 | Afternoon  | admin      | Accountant   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-14 | Afternoon  | admin      | HR Officer   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-14 | Night      | admin      | HR Officer   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-14 | Night      | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Afternoon  | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Afternoon  | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Afternoon  | nurse      | Assistant    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Afternoon  | nurse      | Nurse        |           4 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Morning    | admin      | Receptionist |           2 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Morning    | doctor     | Nephrology   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Morning    | nurse      | Head_Nurse   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Morning    | nurse      | Nurse        |           5 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Night      | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Night      | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Night      | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Night      | nurse      | Assistant    |           2 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Night      | nurse      | Head_Nurse   |           2 |
| Καρδιολογική Κλινική                               | 2025-01-14 | Night      | nurse      | Nurse        |           5 |
| Μονάδα Εντατικής Θεραπείας                         | 2025-01-14 | Night      | admin      | IT Support   |           1 |
| Μονάδα Εντατικής Θεραπείας                         | 2025-01-14 | Night      | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Afternoon  | admin      | Accountant   |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Afternoon  | admin      | HR Officer   |           2 |
| Νευρολογική Κλινική                                | 2025-01-14 | Afternoon  | nurse      | Head_Nurse   |           3 |
| Νευρολογική Κλινική                                | 2025-01-14 | Afternoon  | nurse      | Nurse        |           6 |
| Νευρολογική Κλινική                                | 2025-01-14 | Morning    | admin      | Accountant   |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Morning    | admin      | IT Support   |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Morning    | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Morning    | nurse      | Assistant    |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Morning    | nurse      | Nurse        |           5 |
| Νευρολογική Κλινική                                | 2025-01-14 | Night      | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Night      | admin      | Receptionist |           1 |
| Νευρολογική Κλινική                                | 2025-01-14 | Night      | nurse      | Assistant    |           3 |
| Νευρολογική Κλινική                                | 2025-01-14 | Night      | nurse      | Nurse        |           3 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Afternoon  | admin      | HR Officer   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Afternoon  | admin      | Logistics    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Night      | admin      | Accountant   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Night      | admin      | HR Officer   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Night      | admin      | IT Support   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Night      | nurse      | Assistant    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Night      | nurse      | Head_Nurse   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-14 | Night      | nurse      | Nurse        |           5 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | Logistics    |           1 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | Receptionist |           1 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Afternoon  | nurse      | Assistant    |           2 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Afternoon  | nurse      | Nurse        |           6 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Morning    | admin      | Accountant   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Night      | admin      | HR Officer   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Night      | nurse      | Assistant    |           3 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Night      | nurse      | Head_Nurse   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-14 | Night      | nurse      | Nurse        |           3 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | IT Support   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Afternoon  | nurse      | Assistant    |           3 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Afternoon  | nurse      | Nurse        |           3 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Morning    | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Morning    | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Morning    | admin      | Secretary    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Morning    | nurse      | Assistant    |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Morning    | nurse      | Head_Nurse   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Morning    | nurse      | Nurse        |           3 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Night      | admin      | IT Support   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Night      | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Night      | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-14 | Night      | nurse      | Nurse        |           9 |
| Ουρολογική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | Logistics    |           1 |
| Ουρολογική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | Receptionist |           2 |
| Ουρολογική Κλινική                                 | 2025-01-14 | Night      | admin      | Accountant   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-14 | Night      | admin      | IT Support   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-14 | Night      | nurse      | Nurse        |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Afternoon  | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Afternoon  | nurse      | Assistant    |           3 |
| Παθολογική Κλινική                                 | 2025-01-14 | Afternoon  | nurse      | Nurse        |           4 |
| Παθολογική Κλινική                                 | 2025-01-14 | Morning    | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Morning    | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Morning    | nurse      | Assistant    |           2 |
| Παθολογική Κλινική                                 | 2025-01-14 | Morning    | nurse      | Head_Nurse   |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Morning    | nurse      | Nurse        |           5 |
| Παθολογική Κλινική                                 | 2025-01-14 | Night      | admin      | Accountant   |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Night      | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-14 | Night      | nurse      | Assistant    |           2 |
| Παθολογική Κλινική                                 | 2025-01-14 | Night      | nurse      | Nurse        |           4 |
| Παιδιατρική Κλινική                                | 2025-01-14 | Afternoon  | admin      | IT Support   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-14 | Night      | admin      | Accountant   |           2 |
| Παιδιατρική Κλινική                                | 2025-01-14 | Night      | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Afternoon  | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Afternoon  | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Afternoon  | admin      | Secretary    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Afternoon  | nurse      | Assistant    |           4 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Afternoon  | nurse      | Head_Nurse   |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Afternoon  | nurse      | Nurse        |           3 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Morning    | admin      | Accountant   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Morning    | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Morning    | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Night      | admin      | Accountant   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Night      | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Night      | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Night      | nurse      | Assistant    |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Night      | nurse      | Head_Nurse   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-14 | Night      | nurse      | Nurse        |           5 |
| Χειρουργική Κλινική                                | 2025-01-14 | Afternoon  | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Afternoon  | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Afternoon  | nurse      | Assistant    |           2 |
| Χειρουργική Κλινική                                | 2025-01-14 | Afternoon  | nurse      | Nurse        |           5 |
| Χειρουργική Κλινική                                | 2025-01-14 | Morning    | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Morning    | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Morning    | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Morning    | nurse      | Assistant    |           3 |
| Χειρουργική Κλινική                                | 2025-01-14 | Morning    | nurse      | Nurse        |           6 |
| Χειρουργική Κλινική                                | 2025-01-14 | Night      | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Night      | admin      | Secretary    |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Night      | nurse      | Assistant    |           2 |
| Χειρουργική Κλινική                                | 2025-01-14 | Night      | nurse      | Head_Nurse   |           1 |
| Χειρουργική Κλινική                                | 2025-01-14 | Night      | nurse      | Nurse        |           3 |
| Ψυχιατρική Κλινική                                 | 2025-01-14 | Night      | admin      | Accountant   |           1 |
| Ψυχιατρική Κλινική                                 | 2025-01-14 | Night      | admin      | Receptionist |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-15 | Afternoon  | admin      | Logistics    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-15 | Afternoon  | admin      | Receptionist |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-15 | Night      | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-15 | Night      | admin      | Receptionist |           1 |
| Γυναικολογική Κλινική                              | 2025-01-15 | Afternoon  | admin      | Accountant   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-15 | Afternoon  | admin      | Logistics    |           1 |
| Γυναικολογική Κλινική                              | 2025-01-15 | Night      | admin      | Accountant   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-15 | Night      | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Afternoon  | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Afternoon  | admin      | Secretary    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Afternoon  | nurse      | Assistant    |           2 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Afternoon  | nurse      | Nurse        |           5 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Morning    | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Morning    | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Morning    | admin      | Secretary    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Morning    | nurse      | Assistant    |           4 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Morning    | nurse      | Nurse        |           3 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Night      | admin      | Accountant   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Night      | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Night      | nurse      | Assistant    |           2 |
| Καρδιολογική Κλινική                               | 2025-01-15 | Night      | nurse      | Nurse        |           7 |
| Μονάδα Εντατικής Θεραπείας                         | 2025-01-15 | Night      | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Afternoon  | admin      | IT Support   |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Afternoon  | admin      | Receptionist |           2 |
| Νευρολογική Κλινική                                | 2025-01-15 | Afternoon  | nurse      | Assistant    |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Afternoon  | nurse      | Head_Nurse   |           2 |
| Νευρολογική Κλινική                                | 2025-01-15 | Afternoon  | nurse      | Nurse        |           5 |
| Νευρολογική Κλινική                                | 2025-01-15 | Morning    | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Morning    | admin      | IT Support   |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Morning    | admin      | Receptionist |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Morning    | nurse      | Assistant    |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Morning    | nurse      | Nurse        |           6 |
| Νευρολογική Κλινική                                | 2025-01-15 | Night      | admin      | Accountant   |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Night      | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Night      | nurse      | Assistant    |           1 |
| Νευρολογική Κλινική                                | 2025-01-15 | Night      | nurse      | Nurse        |           6 |
| Νεφρολογική Κλινική                                | 2025-01-15 | Afternoon  | admin      | Receptionist |           2 |
| Νεφρολογική Κλινική                                | 2025-01-15 | Night      | admin      | Logistics    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-15 | Night      | admin      | Receptionist |           1 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | HR Officer   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Afternoon  | nurse      | Assistant    |           2 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Afternoon  | nurse      | Head_Nurse   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Afternoon  | nurse      | Nurse        |           4 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Morning    | admin      | Accountant   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Morning    | admin      | HR Officer   |           1 |
